Dataset,file_path,column,exists,null_count
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,VARITY_R_score,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,VARITY_R_rankscore,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,VARITY_R_pred,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,VARITY_ER_score,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,VARITY_ER_rankscore,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,VARITY_ER_pred,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,AlphaMissense_score,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,AlphaMissense_rankscore,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,AlphaMissense_pred,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,PHACTboost_score,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,PHACTboost_rankscore,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,PHACTboost_pred,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,MutFormer_score,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,MutFormer_rankscore,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,MutFormer_pred,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,popEVE_score,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,popEVE_converted_rankscore,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,popEVE_pred,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,CADD_raw,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,CADD_raw_rankscore,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,CADD_phred,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,CADD_pred,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,DANN_score,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,DANN_rankscore,True,0
uniprot,D:/variant_data/uniprot_full_seq_after_vep_final.parquet,DANN_pred,True,0
