Dataset,Pooling,Ablation,DNA_Model,Prot_Model,Network,Accuracy,Precision,Recall,Specificity,F1_Score,MCC,AUROC,AUPRC
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm2_650m,Hybrid_Concat_XGBoost,0.8208,0.8801,0.7385,0.9014,0.8031,0.6493,0.9066,0.901
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esmc_600m,PyTorch_CrossAttn,0.8179,0.8986,0.7126,0.9211,0.7949,0.6489,0.9204,0.921
Train1Val_ClinVarHQ,mean,dna_prot,nt_v1_500m,esm1b_650m,Hybrid_CrossAttn_XGBoost,0.8236,0.8457,0.7874,0.8592,0.8155,0.6485,0.9008,0.9027
Train1Val_ClinVarHQ,mean,dna_prot,nt_v3_650m,esm1b_650m,Hybrid_Concat_XGBoost,0.8236,0.8457,0.7874,0.8592,0.8155,0.6485,0.9024,0.8989
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm1b_650m,Hybrid_Concat_XGBoost,0.8222,0.8608,0.7644,0.8789,0.8097,0.648,0.9055,0.9036
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm1b_650m,Hybrid_CrossAttn_XGBoost,0.8222,0.854,0.773,0.8704,0.8115,0.6469,0.9048,0.9068
Train1Val_ClinVarHQ,mean,dna_prot,nt_v2_500m,esm2_650m,Hybrid_Concat_XGBoost,0.8193,0.8797,0.7356,0.9014,0.8013,0.6467,0.8992,0.8783
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esmc_600m,PyTorch_Concat,0.8165,0.8982,0.7098,0.9211,0.7929,0.6464,0.922,0.9259
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm1b_650m,Hybrid_Gating_XGBoost,0.8208,0.8627,0.7586,0.8817,0.8073,0.6457,0.8992,0.9005
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm1b_650m,PyTorch_Transformer,0.8179,0.8767,0.7356,0.8986,0.8,0.6435,0.9,0.9023
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esmc_600m,PyTorch_Gating,0.8137,0.9033,0.6983,0.9268,0.7877,0.643,0.9213,0.9256
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm1b_650m,Hybrid_Concat_XGBoost,0.8193,0.8599,0.7586,0.8789,0.8061,0.6426,0.9084,0.9107
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm1b_650m,Hybrid_CrossAttn_XGBoost,0.8208,0.8405,0.7874,0.8535,0.8131,0.6425,0.9098,0.9106
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm2_650m,Hybrid_CrossAttn_XGBoost,0.8179,0.8618,0.7529,0.8817,0.8037,0.6404,0.9007,0.8962
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esmc_600m,PyTorch_Gating,0.8137,0.8917,0.7098,0.9155,0.7904,0.6398,0.9127,0.9137
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm1b_650m,Pure_XGBoost_Concat,0.8179,0.8571,0.7586,0.8761,0.8049,0.6396,0.897,0.8985
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm2_650m,Hybrid_CrossAttn_XGBoost,0.8165,0.8662,0.7443,0.8873,0.8006,0.6387,0.905,0.8982
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm1b_650m,Hybrid_Transformer_XGBoost,0.8179,0.8503,0.7672,0.8676,0.8066,0.6385,0.9076,0.9109
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm2_650m,Pure_XGBoost_Concat,0.8165,0.8638,0.7471,0.8845,0.8012,0.6382,0.9054,0.8976
Train1Val_ClinVarHQ,mean,dna_prot,nt_v2_500m,esm1b_650m,Hybrid_Transformer_XGBoost,0.8179,0.8481,0.7701,0.8648,0.8072,0.6381,0.9033,0.8931
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm1b_650m,PyTorch_Concat,0.8122,0.8942,0.704,0.9183,0.7878,0.638,0.9114,0.9149
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm1b_650m,PyTorch_CrossAttn,0.8122,0.8913,0.7069,0.9155,0.7885,0.6372,0.9005,0.9043
Train1Val_ClinVarHQ,mean,dna_prot,nt_v1_500m,esm1b_650m,PyTorch_CrossAttn,0.8122,0.8913,0.7069,0.9155,0.7885,0.6372,0.9144,0.9106
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm2_650m,Hybrid_Transformer_XGBoost,0.8151,0.8682,0.7385,0.8901,0.7981,0.6366,0.9005,0.8877
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm2_650m,Hybrid_Transformer_XGBoost,0.8151,0.8609,0.7471,0.8817,0.8,0.6351,0.8957,0.895
Train1Val_ClinVarHQ,mean,dna_prot,nt_v3_650m,esmc_600m,PyTorch_Transformer,0.8122,0.883,0.7155,0.907,0.7905,0.6351,0.8994,0.9009
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm1b_650m,PyTorch_Gating,0.8122,0.8803,0.7184,0.9042,0.7911,0.6344,0.904,0.9053
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm1b_650m,PyTorch_Concat,0.8094,0.8934,0.6983,0.9183,0.7839,0.633,0.8988,0.8995
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esmc_600m,PyTorch_CrossAttn,0.8051,0.917,0.6667,0.9408,0.772,0.6328,0.9218,0.9264
Train1Val_ClinVarHQ,mean,dna_prot,nt_v1_500m,esm1b_650m,Hybrid_Gating_XGBoost,0.8151,0.8385,0.7759,0.8535,0.806,0.6316,0.8949,0.8848
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm1b_650m,PyTorch_Transformer,0.8094,0.8877,0.704,0.9127,0.7853,0.6314,0.9022,0.9082
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm2_650m,Pure_XGBoost_Concat,0.8122,0.8673,0.7328,0.8901,0.7944,0.6314,0.8953,0.8813
Train1Val_ClinVarHQ,mean,dna_prot,nt_v1_500m,esm2_650m,PyTorch_Transformer,0.8122,0.8673,0.7328,0.8901,0.7944,0.6314,0.8954,0.878
Train1Val_ClinVarHQ,mean,dna_prot,nt_v3_650m,esmc_600m,PyTorch_Concat,0.8122,0.86,0.7414,0.8817,0.7963,0.6298,0.9031,0.9006
Train1Val_ClinVarHQ,mean,dna_prot,nt_v2_500m,esm1b_650m,PyTorch_Gating,0.8065,0.8985,0.6868,0.9239,0.7785,0.6296,0.9107,0.9034
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm2_650m,Pure_XGBoost_Concat,0.8108,0.8694,0.727,0.893,0.7919,0.6293,0.8893,0.8868
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esmc_600m,PyTorch_Transformer,0.8065,0.8955,0.6897,0.9211,0.7792,0.6287,0.9158,0.9228
Train1Val_ClinVarHQ,mean,dna_prot,nt_v3_650m,esm1b_650m,PyTorch_Transformer,0.8065,0.8955,0.6897,0.9211,0.7792,0.6287,0.9111,0.9005
Train1Val_ClinVarHQ,mean,dna_prot,nt_v2_500m,esmc_600m,PyTorch_Concat,0.8065,0.8955,0.6897,0.9211,0.7792,0.6287,0.9039,0.9073
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm2_650m,Hybrid_Concat_XGBoost,0.8094,0.8768,0.7155,0.9014,0.788,0.6286,0.8998,0.8924
Train1Val_ClinVarHQ,mean,dna_prot,nt_v3_650m,esmc_600m,PyTorch_CrossAttn,0.808,0.8845,0.704,0.9099,0.784,0.6281,0.8961,0.8967
Train1Val_ClinVarHQ,mean,dna_prot,nt_v1_500m,esm1b_650m,PyTorch_Gating,0.8065,0.8897,0.6954,0.9155,0.7806,0.6271,0.9075,0.8943
Train1Val_ClinVarHQ,mean,dna_prot,nt_v3_650m,esm1b_650m,Hybrid_CrossAttn_XGBoost,0.8122,0.8439,0.7615,0.862,0.8006,0.627,0.904,0.8962
Train1Val_ClinVarHQ,cls,prot,,esm1b_650m,Hybrid_Concat_XGBoost,0.8108,0.8548,0.7443,0.8761,0.7957,0.6263,0.888,0.8856
Train1Val_ClinVarHQ,mean,prot,,esm1b_650m,Hybrid_Concat_XGBoost,0.8108,0.8548,0.7443,0.8761,0.7957,0.6263,0.8993,0.8924
Train1Val_ClinVarHQ,cls,prot,None,esm1b_650m,Hybrid_Concat_XGBoost,0.8108,0.8548,0.7443,0.8761,0.7957,0.6263,0.888,0.8856
Train1Val_ClinVarHQ,mean,prot,None,esm1b_650m,Hybrid_Concat_XGBoost,0.8108,0.8548,0.7443,0.8761,0.7957,0.6263,0.8993,0.8924
Train1Val_ClinVarHQ,mean,dna_prot,nt_v3_650m,esm1b_650m,PyTorch_CrossAttn,0.8037,0.9008,0.6782,0.9268,0.7738,0.6255,0.9111,0.9019
Train1Val_ClinVarHQ,cls,dna_prot,nt_v2_500m,esm1b_650m,Hybrid_Gating_XGBoost,0.8094,0.8615,0.7328,0.8845,0.7919,0.6251,0.8968,0.8934
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm1b_650m,PyTorch_Concat,0.8065,0.8813,0.704,0.907,0.7827,0.6248,0.9081,0.9045
Train1Val_ClinVarHQ,mean,dna_prot,nt_v2_500m,esm1b_650m,PyTorch_CrossAttn,0.808,0.8711,0.7184,0.8958,0.7874,0.6247,0.9022,0.8878
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm1b_650m,PyTorch_Gating,0.8051,0.8864,0.6954,0.9127,0.7794,0.6238,0.8954,0.9027
Train1Val_ClinVarHQ,mean,prot,,esm1b_650m,Pure_XGBoost_Concat,0.8094,0.8497,0.7471,0.8704,0.7951,0.6228,0.8786,0.8814
Train1Val_ClinVarHQ,mean,prot,None,esm1b_650m,Pure_XGBoost_Concat,0.8094,0.8497,0.7471,0.8704,0.7951,0.6228,0.8786,0.8814
Train1Val_ClinVarHQ,mean,dna_prot,nt_v2_500m,esmc_600m,PyTorch_CrossAttn,0.8037,0.8889,0.6897,0.9155,0.7767,0.6221,0.9023,0.9048
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm2_650m,Hybrid_Gating_XGBoost,0.8094,0.8429,0.7557,0.862,0.797,0.6216,0.905,0.896
Train1Val_ClinVarHQ,mean,dna_prot,nt_v1_500m,esm1b_650m,PyTorch_Transformer,0.8023,0.8943,0.681,0.9211,0.7732,0.6212,0.909,0.9068
Train1Val_ClinVarHQ,mean,dna_prot,nt_v1_500m,esm2_650m,PyTorch_Gating,0.8023,0.8943,0.681,0.9211,0.7732,0.6212,0.8949,0.8796
Train1Val_ClinVarHQ,mean,dna_prot,nt_v1_500m,esm2_650m,Hybrid_Transformer_XGBoost,0.8094,0.8365,0.7644,0.8535,0.7988,0.6207,0.8935,0.8755
