Experiment,E2E_GFLOPs/Sample,E2E_Latency_ms/Sample,E2E_Total_Params,E2E_Param_Mem_MB,Max_Peak_VRAM_MB,FM_GFLOPs/Sample,FM_Latency_ms/Sample,Geom_GFLOPs/Sample,Geom_Latency_ms/Sample,Classifier_GFLOPs/Sample,Classifier_Latency_ms/Sample,Classifier_Total_Params,Classifier_Param_Mem_MB,Classifier_XGB_Model_Mem_MB,Classifier_Peak_VRAM_MB
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Concat__Train1Val_Test,216.1122,8.55,1062413995,2029.6,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Concat__Train1Val_ClinVarHQ,216.1122,8.98,1062413995,2029.6,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Concat__Train1Val_UniProt,216.1122,8.89,1062413995,2029.6,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Concat__Train1Val_ProteinGym,216.1122,8.91,1062413995,2029.6,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_PyTorch_CrossAttn__Train1Val_Test,216.1122,8.56,1064515243,2037.62,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_PyTorch_CrossAttn__Train1Val_ClinVarHQ,216.1122,8.98,1064515243,2037.62,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_PyTorch_CrossAttn__Train1Val_UniProt,216.1122,8.9,1064515243,2037.62,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_PyTorch_CrossAttn__Train1Val_ProteinGym,216.1122,8.92,1064515243,2037.62,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Transformer__Train1Val_Test,216.1206,8.57,1065567403,2041.63,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Transformer__Train1Val_ClinVarHQ,216.1206,8.99,1065567403,2041.63,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Transformer__Train1Val_UniProt,216.1206,8.91,1065567403,2041.63,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Transformer__Train1Val_ProteinGym,216.1206,8.93,1065567403,2041.63,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Gating__Train1Val_Test,216.1128,8.55,1062741163,2030.85,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Gating__Train1Val_ClinVarHQ,216.1128,8.98,1062741163,2030.85,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Gating__Train1Val_UniProt,216.1128,8.89,1062741163,2030.85,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Gating__Train1Val_ProteinGym,216.1128,8.91,1062741163,2030.85,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_Pure_XGBoost_Concat__Train1Val_Test,216.1122,8.55,1062413995,2029.6,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_Pure_XGBoost_Concat__Train1Val_ClinVarHQ,216.1122,8.98,1062413995,2029.6,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_Pure_XGBoost_Concat__Train1Val_UniProt,216.1122,8.89,1062413995,2029.6,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_Pure_XGBoost_Concat__Train1Val_ProteinGym,216.1122,8.91,1062413995,2029.6,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Concat_XGBoost__Train1Val_Test,216.1122,8.54,1062413995,2029.6,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Concat_XGBoost__Train1Val_ClinVarHQ,216.1122,8.98,1062413995,2029.6,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Concat_XGBoost__Train1Val_UniProt,216.1122,8.88,1062413995,2029.6,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Concat_XGBoost__Train1Val_ProteinGym,216.1122,8.9,1062413995,2029.6,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_Hybrid_CrossAttn_XGBoost__Train1Val_Test,216.1122,8.54,1064515243,2037.62,1656.34,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esmc_600m_Hybrid_CrossAttn_XGBoost__Train1Val_ClinVarHQ,216.1122,8.97,1064515243,2037.62,1656.34,,,,,,,,,,
